,date,time,test,negative,confirmed,released,deceased,daily_test,daily_negative,daily_confirmed,daily_released,daily_deceased
0,2020-01-20,16,1,0,1,0,0,1,0,1,0,0
1,2020-01-21,16,1,0,1,0,0,0,0,0,0,0
2,2020-01-22,16,4,3,1,0,0,3,3,0,0,0
3,2020-01-23,16,22,21,1,0,0,18,18,0,0,0
4,2020-01-24,16,27,25,2,0,0,5,4,1,0,0
5,2020-01-25,16,27,25,2,0,0,0,0,0,0,0
6,2020-01-26,16,51,47,3,0,0,24,22,1,0,0
7,2020-01-27,16,61,56,4,0,0,10,9,1,0,0
8,2020-01-28,16,116,97,4,0,0,55,41,0,0,0
9,2020-01-29,16,187,155,4,0,0,71,58,0,0,0
10,2020-01-30,16,246,199,6,0,0,59,44,2,0,0
11,2020-01-31,16,312,245,11,0,0,66,46,5,0,0
12,2020-02-01,16,371,289,12,0,0,59,44,1,0,0
13,2020-02-02,16,429,327,15,0,0,58,38,3,0,0
14,2020-02-03,16,490,414,15,0,0,61,87,0,0,0
15,2020-02-04,16,607,462,16,0,0,117,48,1,0,0
16,2020-02-05,16,714,522,18,1,0,107,60,2,1,0
17,2020-02-06,16,885,693,23,2,0,171,171,5,1,0
18,2020-02-07,16,1352,1001,24,2,0,467,308,1,0,0
19,2020-02-08,16,2097,1134,24,2,0,745,133,0,0,0
20,2020-02-09,16,2598,1683,27,3,0,501,549,3,1,0
21,2020-02-10,16,3110,2552,27,4,0,512,869,0,1,0
22,2020-02-11,16,4325,3535,28,4,0,1215,983,1,0,0
23,2020-02-12,16,5624,4811,28,7,0,1299,1276,0,3,0
24,2020-02-13,16,6511,5921,28,7,0,887,1110,0,0,0
25,2020-02-14,16,7242,6679,28,7,0,731,758,0,0,0
26,2020-02-15,16,7734,7148,28,9,0,492,469,0,2,0
27,2020-02-16,16,8161,7647,29,9,0,427,499,1,0,0
28,2020-02-17,16,8718,7980,30,10,0,557,333,1,1,0
29,2020-02-18,16,9772,8923,31,12,0,1054,943,1,2,0
30,2020-02-19,16,11173,9973,51,16,0,1401,1050,20,4,0
31,2020-02-20,16,13202,11238,104,16,1,2029,1265,53,0,1
32,2020-02-21,16,16400,13016,204,17,2,3198,1778,100,1,1
33,2020-02-22,16,21586,15116,433,18,2,5186,2100,229,1,0
34,2020-02-23,16,26179,17520,602,18,6,4593,2404,169,0,4
35,2020-02-24,16,32756,20292,833,24,8,6577,2772,231,6,2
36,2020-02-25,16,40304,25447,977,24,12,7548,5155,144,0,4
37,2020-02-26,16,53553,31576,1261,24,12,13249,6129,284,0,0
38,2020-02-27,16,66652,39318,1766,26,13,13099,7742,505,2,1
39,2020-02-28,16,81167,48593,2337,27,13,14515,9275,571,1,0
40,2020-02-29,16,94055,55723,3150,28,17,12888,7130,813,1,4
41,2020-03-01,16,98921,61825,3736,30,18,4866,6102,586,2,1
42,2020-03-02,0,109591,71580,4212,31,22,10670,9755,476,1,4
43,2020-03-03,0,125851,85484,4812,34,28,16260,13904,600,3,6
44,2020-03-04,0,136707,102965,5328,41,32,10856,17481,516,7,4
45,2020-03-05,0,146541,118965,5766,88,35,9834,16000,438,47,3
46,2020-03-06,0,164740,136624,6284,108,42,18199,17659,518,20,7
47,2020-03-07,0,178189,151802,6767,118,44,13449,15178,483,10,2
48,2020-03-08,0,188518,162008,7134,130,50,10329,10206,367,12,6
49,2020-03-09,0,196618,171778,7382,166,51,8100,9770,248,36,1
50,2020-03-10,0,210144,184179,7513,247,54,13526,12401,131,81,3
51,2020-03-11,0,222395,196100,7755,288,60,12251,11921,242,41,6
52,2020-03-12,0,234998,209402,7869,333,66,12603,13302,114,45,6
53,2020-03-13,0,248647,222728,7979,510,67,13649,13326,110,177,1
54,2020-03-14,0,261335,235615,8086,714,72,12688,12887,107,204,5
55,2020-03-15,0,268212,243778,8126,834,75,6877,8163,40,120,3
